session,monkey,area,ml,ap,ks_cluster,site,unitDSP,unitWAV,contamPct,amplitude,ksClass,phyClass,nSpikes,ISI_2ms,ISI_2_4_ratio,high_isi_viol,low_spk_viol,manual_inspection_viol
troy-agl_t-2021-06-25,troy,A1,111,106,0,1,DSP01a,WAV01a,111.9,8.4,mua ,mua  ,4327,0.693481276005548,0.280373831775701,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,4,1,DSP01b,WAV01b,288.6,33.5,mua ,good ,1238,7.76071139854487,0.398340248962656,1,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,5,1,DSP01c,WAV01c,500,32.9,mua ,good ,143,1.40845070422535,0.666666666666667,0,1,1
troy-agl_t-2021-06-25,troy,A1,111,106,105,1,DSP01d,WAV01d,104.6,10.2,mua ,mua  ,16818,4.69762740084438,0.271105010295127,1,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,106,1,DSP01e,WAV01e,104.6,10.2,mua ,mua  ,6484,3.0078667283665,0.459905660377358,1,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,3,2,DSP02a,WAV02a,129.4,8.9,mua ,mua  ,4401,1.70454545454545,0.426136363636364,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,7,2,DSP02b,WAV02b,134.9,8.6,mua ,mua  ,3782,1.82491404390373,0.621621621621622,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,8,2,DSP02c,WAV02c,90.3,10.1,mua ,good ,35911,6.27123363965469,0.350888127142412,1,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,12,3,DSP03a,WAV03a,59.7,9.4,mua ,mua  ,7211,1.06796116504854,0.356481481481481,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,13,3,DSP03b,WAV03b,72.2,9.5,mua ,mua  ,9334,1.575056252009,0.368421052631579,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,14,3,DSP03c,WAV03c,101.1,11.1,mua ,mua  ,33331,7.04170417041704,0.436732415333085,1,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,19,4,DSP04a,WAV04a,0,30.5,good,good ,1863,0,0,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,20,4,DSP04b,WAV04b,69.1,10.9,mua ,good ,18973,3.39974699557242,0.207863358040606,1,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,30,5,DSP05a,WAV05a,82.6,10,mua ,mua  ,18081,2.85951327433628,0.290612703766161,1,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,85,6,DSP06a,WAV06a,56.2,8.9,mua ,mua  ,1517,0.131926121372032,0.181818181818182,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,86,6,DSP06b,WAV06b,56.2,8.9,mua ,mua  ,4653,0.257953568357696,0.173913043478261,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,34,7,DSP07a,WAV07a,67.9,9.3,mua ,mua  ,3482,0.545820166618788,0.283582089552239,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,38,8,DSP08a,WAV08a,40.8,8.2,mua ,mua  ,3514,0.370054084827783,0.131313131313131,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,39,8,DSP08b,WAV08b,24.4,7.9,mua ,good ,1443,0.346740638002774,0.454545454545455,0,0,1
troy-agl_t-2021-06-25,troy,A1,111,106,41,8,DSP08c,WAV08c,79.7,7.9,mua ,mua  ,1320,0.379075056861259,0.555555555555556,0,0,1
