neuron_i,session_i,monkey,area,trial,seq_idx,seq_rep_n,seq_pos,elem_id,rwd_trial,prev_elem,average_win_fr,average_win_spkCount,average_win_delta_spkCount
1926,50,walt,auditory,1,2,1,1,A,1,X,12.4688279301746,5,0
1926,50,walt,auditory,1,2,1,2,D,1,A,22.4438902743142,9,4
1926,50,walt,auditory,1,2,1,3,C,1,D,0,0,-5
1926,50,walt,auditory,1,2,1,4,F,1,C,25.7368880797247,11,6
1926,50,walt,auditory,1,2,1,5,C,1,F,16.6798267884471,7,2
1926,50,walt,auditory,2,8,1,1,A,1,X,2.49376558603491,1,0
1926,50,walt,auditory,2,8,1,2,D,1,A,37.4842915025865,15,14
1926,50,walt,auditory,2,8,1,3,C,1,D,24.9376558603491,10,9
1926,50,walt,auditory,2,8,1,4,G,1,C,18.1675851566709,9,8
1926,50,walt,auditory,2,8,1,5,F,1,G,22.4438902743142,9,8
1926,50,walt,auditory,3,10,1,1,A,1,X,22.685872513951,10,0
1926,50,walt,auditory,3,10,1,2,C,1,A,31.4344728477387,13,3
1926,50,walt,auditory,3,10,1,3,D,1,C,15.1221982267494,6,-4
1926,50,walt,auditory,3,10,1,4,F,1,D,22.4438902743142,9,-1
1926,50,walt,auditory,3,10,1,5,C,1,F,17.4563591022444,7,-3
1926,50,walt,auditory,4,4,1,1,A,1,X,5.37124074678489,3,0
1926,50,walt,auditory,4,4,1,2,D,1,A,27.431421446384,11,8
1926,50,walt,auditory,4,4,1,3,C,1,D,18.4408388729595,7,4
1926,50,walt,auditory,4,4,1,4,G,1,C,17.4563591022444,7,4
1926,50,walt,auditory,4,4,1,5,F,1,G,23.5566474511466,9,6
1926,50,walt,auditory,5,9,1,1,A,1,X,46.8432992833687,18,0
1926,50,walt,auditory,5,9,1,2,G,1,A,7.48129675810474,3,-15
1926,50,walt,auditory,5,9,1,3,F,1,G,21.3943559036715,9,-9
1926,50,walt,auditory,5,9,1,4,C,1,F,21.0628818651117,8,-10
1926,50,walt,auditory,5,9,1,5,D,1,C,24.9376558603491,10,-8
1926,50,walt,auditory,6,6,1,1,A,1,X,17.4563591022444,7,0
1926,50,walt,auditory,6,6,1,2,D,1,A,34.9127182044888,14,7
1926,50,walt,auditory,6,6,1,3,C,1,D,17.7490104235577,9,2
1926,50,walt,auditory,6,6,1,4,F,1,C,29.9251870324189,12,5
1926,50,walt,auditory,6,6,1,5,C,1,F,9.97506234413965,4,-3
1926,50,walt,auditory,7,12,1,1,A,1,X,9.97506234413965,4,0
1926,50,walt,auditory,7,12,1,2,F,1,A,14.1001384906442,6,2
1926,50,walt,auditory,7,12,1,3,C,1,F,9.97506234413965,4,0
1926,50,walt,auditory,7,12,1,4,G,1,C,19.3141585661565,8,4
1926,50,walt,auditory,7,12,1,5,C,1,G,10.267713665453,5,1
1926,50,walt,auditory,8,13,1,1,A,1,X,9.97506234413965,4,0
1926,50,walt,auditory,8,13,1,2,D,1,A,14.9625935162095,6,2
1926,50,walt,auditory,8,13,1,3,F,1,D,9.97506234413965,4,0
1926,50,walt,auditory,8,13,1,4,C,1,F,12.4688279301746,5,1
1926,50,walt,auditory,8,13,1,5,G,1,C,21.4443672558916,6,2
1926,50,walt,auditory,9,5,1,1,A,1,X,4.98753117206983,3,0
1926,50,walt,auditory,9,5,1,2,C,1,A,9.5342310057815,5,2
1926,50,walt,auditory,9,5,1,3,F,1,C,7.55910447016755,3,0
1926,50,walt,auditory,9,5,1,4,C,1,F,2.49376558603491,1,-2
1926,50,walt,auditory,9,5,1,5,G,1,C,24.6920603303678,9,6
1926,50,walt,auditory,10,1,1,1,A,1,X,12.4688279301746,5,0
1926,50,walt,auditory,10,1,1,2,C,1,A,16.5008297762195,6,1
1926,50,walt,auditory,10,1,1,3,F,1,C,11.833204771461,4,-1
1926,50,walt,auditory,10,1,1,4,C,1,F,14.9625935162095,6,1
1926,50,walt,auditory,10,1,1,5,G,1,C,17.4563591022444,7,2
1926,50,walt,auditory,11,16,1,1,A,0,X,22.4438902743142,9,0
1926,50,walt,auditory,11,16,1,2,D,0,A,14.9625935162095,6,-3
1926,50,walt,auditory,11,16,1,3,C,0,D,22.4438902743142,9,0
1926,50,walt,auditory,11,16,1,4,G,0,C,27.431421446384,10,1
1926,50,walt,auditory,11,16,1,5,C,0,G,27.431421446384,11,2
1926,50,walt,auditory,12,14,1,1,A,0,X,14.9625935162095,6,0
1926,50,walt,auditory,12,14,1,2,D,0,A,19.9501246882793,8,2
1926,50,walt,auditory,12,14,1,3,G,0,D,16.0472867893203,6,0
1926,50,walt,auditory,12,14,1,4,F,0,G,57.356608478803,23,17
1926,50,walt,auditory,12,14,1,5,C,0,F,9.97506234413965,4,-2
1926,50,walt,auditory,13,3,1,1,A,1,X,12.4688279301746,5,0
1926,50,walt,auditory,13,3,1,2,C,1,A,12.4688279301746,5,0
1926,50,walt,auditory,13,3,1,3,G,1,C,14.9625935162095,7,2
1926,50,walt,auditory,13,3,1,4,F,1,G,14.8029888056696,6,1
1926,50,walt,auditory,13,3,1,5,C,1,F,14.9625935162095,6,1
1926,50,walt,auditory,14,11,1,1,A,1,X,9.97506234413965,4,0
1926,50,walt,auditory,14,11,1,2,G,1,A,19.9501246882793,8,4
1926,50,walt,auditory,14,11,1,3,C,1,G,19.8218472821621,8,4
1926,50,walt,auditory,14,11,1,4,F,1,C,45.523403707342,19,15
1926,50,walt,auditory,14,11,1,5,C,1,F,66.0084695295593,27,23
1926,50,walt,auditory,15,15,1,1,A,1,X,17.5894057130178,8,0
1926,50,walt,auditory,15,15,1,2,C,1,A,9.97506234413965,4,-4
1926,50,walt,auditory,15,15,1,3,F,1,C,12.4688279301746,5,-3
1926,50,walt,auditory,15,15,1,4,C,1,F,14.9625935162095,6,-2
1926,50,walt,auditory,15,15,1,5,F,1,C,14.0070641901846,5,-3
1926,50,walt,auditory,16,9,2,1,A,1,X,12.4688279301746,5,0
1926,50,walt,auditory,16,9,2,2,G,1,A,14.9625935162095,6,1
1926,50,walt,auditory,16,9,2,3,F,1,G,22.2842855637743,9,4
1926,50,walt,auditory,16,9,2,4,C,1,F,32.4189526184539,13,8
1926,50,walt,auditory,16,9,2,5,D,1,C,7.48129675810474,3,-2
1926,50,walt,auditory,17,6,2,1,A,1,X,37.4064837905237,15,0
1926,50,walt,auditory,17,6,2,2,D,1,A,18.4118884282692,8,-7
1926,50,walt,auditory,17,6,2,3,C,1,D,36.6737302890012,14,-1
1926,50,walt,auditory,17,6,2,4,F,1,C,9.97506234413965,4,-11
1926,50,walt,auditory,17,6,2,5,C,1,F,32.3833624291405,15,0
1926,50,walt,auditory,18,2,2,1,A,1,X,27.331514396837,11,0
1926,50,walt,auditory,18,2,2,2,D,1,A,19.9501246882793,8,-3
1926,50,walt,auditory,18,2,2,3,C,1,D,32.1733570884725,13,2
1926,50,walt,auditory,18,2,2,4,F,1,C,25.9221356310643,9,-2
1926,50,walt,auditory,18,2,2,5,C,1,F,18.5482426429333,10,-1
1926,50,walt,auditory,19,16,2,1,A,1,X,17.4563591022444,7,0
1926,50,walt,auditory,19,16,2,2,D,1,A,0,0,-7
1926,50,walt,auditory,19,16,2,3,C,1,D,22.4438902743142,9,2
1926,50,walt,auditory,19,16,2,4,G,1,C,32.7116039397672,14,7
1926,50,walt,auditory,19,16,2,5,C,1,G,12.4688279301746,5,-2
1926,50,walt,auditory,20,12,2,1,A,1,X,12.4688279301746,4,0
1926,50,walt,auditory,20,12,2,2,F,1,A,3.44929491205975,2,-2
1926,50,walt,auditory,20,12,2,3,C,1,F,9.97506234413965,4,0
1926,50,walt,auditory,20,12,2,4,G,1,C,9.97506234413965,4,0
1926,50,walt,auditory,20,12,2,5,C,1,G,9.97506234413965,4,0
1926,50,walt,auditory,21,1,2,1,A,1,X,29.925187032419,13,0
1926,50,walt,auditory,21,1,2,2,C,1,A,20.2861198789274,8,-5
1926,50,walt,auditory,21,1,2,3,F,1,C,19.9501246882793,8,-5
1926,50,walt,auditory,21,1,2,4,C,1,F,14.5487906134986,6,-7
1926,50,walt,auditory,21,1,2,5,G,1,C,2.49376558603491,1,-12
1926,50,walt,auditory,22,4,2,1,A,1,X,22.4438902743142,9,0
1926,50,walt,auditory,22,4,2,2,D,1,A,54.8628428927681,22,13
1926,50,walt,auditory,22,4,2,3,C,1,D,12.4688279301746,5,-4
1926,50,walt,auditory,22,4,2,4,G,1,C,12.4688279301746,5,-4
1926,50,walt,auditory,22,4,2,5,F,1,G,16.0408495972604,7,-2
1926,50,walt,auditory,23,15,2,1,A,1,X,25.4712405083875,14,0
1926,50,walt,auditory,23,15,2,2,C,1,A,19.9501246882793,8,-6
1926,50,walt,auditory,23,15,2,3,F,1,C,7.48129675810474,3,-11
1926,50,walt,auditory,23,15,2,4,C,1,F,18.8456874230773,7,-7
1926,50,walt,auditory,23,15,2,5,F,1,C,24.9376558603491,10,-4
1926,50,walt,auditory,24,7,1,1,A,1,X,42.3940149625935,17,0
1926,50,walt,auditory,24,7,1,2,C,1,A,10.2640168883188,3,-14
1926,50,walt,auditory,24,7,1,3,G,1,C,19.9501246882793,8,-9
1926,50,walt,auditory,24,7,1,4,F,1,G,2.49376558603491,1,-16
1926,50,walt,auditory,24,7,1,5,C,1,F,2.49376558603491,2,-15
1926,50,walt,auditory,25,14,2,1,A,1,X,32.4189526184539,13,0
1926,50,walt,auditory,25,14,2,2,D,1,A,30.2178383537323,13,0
1926,50,walt,auditory,25,14,2,3,G,1,D,4.98753117206983,2,-11
1926,50,walt,auditory,25,14,2,4,F,1,G,14.9625935162095,6,-7
1926,50,walt,auditory,25,14,2,5,C,1,F,31.7455450875207,12,-1
1926,50,walt,auditory,26,10,2,1,A,1,X,29.9251870324189,12,0
1926,50,walt,auditory,26,10,2,2,C,1,A,13.1317059348861,5,-7
1926,50,walt,auditory,26,10,2,3,D,1,C,7.48129675810474,3,-9
1926,50,walt,auditory,26,10,2,4,F,1,D,30.8309859273189,12,0
1926,50,walt,auditory,26,10,2,5,C,1,F,7.48129675810474,3,-9
1926,50,walt,auditory,27,3,2,1,A,1,X,10.0928013841362,2,0
1926,50,walt,auditory,27,3,2,2,C,1,A,4.98753117206982,2,0
1926,50,walt,auditory,27,3,2,3,G,1,C,22.4438902743142,9,7
1926,50,walt,auditory,27,3,2,4,F,1,G,12.4688279301746,5,3
1926,50,walt,auditory,27,3,2,5,C,1,F,22.4438902743142,9,7
1926,50,walt,auditory,28,11,2,1,A,1,X,17.4563591022444,7,0
1926,50,walt,auditory,28,11,2,2,G,1,A,12.4688279301746,5,-2
1926,50,walt,auditory,28,11,2,3,C,1,G,12.4688279301746,5,-2
1926,50,walt,auditory,28,11,2,4,F,1,C,21.667357960517,9,2
1926,50,walt,auditory,28,11,2,5,C,1,F,11.3643906649726,4,-3
1926,50,walt,auditory,29,8,2,1,A,1,X,4.98753117206983,2,0
1926,50,walt,auditory,29,8,2,2,D,1,A,24.9376558603491,10,8
1926,50,walt,auditory,29,8,2,3,C,1,D,26.3186642695517,12,10
1926,50,walt,auditory,29,8,2,4,G,1,C,13.2680601495501,6,4
1926,50,walt,auditory,29,8,2,5,F,1,G,23.052634770193,9,7
1926,50,walt,auditory,30,13,2,1,A,1,X,15.2081890461908,6,0
1926,50,walt,auditory,30,13,2,2,D,1,A,27.431421446384,11,5
1926,50,walt,auditory,30,13,2,3,F,1,D,26.029539401038,14,8
1926,50,walt,auditory,30,13,2,4,C,1,F,27.6522466808796,12,6
1926,50,walt,auditory,30,13,2,5,G,1,C,29.925187032419,12,6
1926,50,walt,auditory,31,5,2,1,A,1,X,19.9501246882793,8,0
1926,50,walt,auditory,31,5,2,2,C,1,A,15.1221982267494,6,-2
1926,50,walt,auditory,31,5,2,3,F,1,C,12.4688279301746,5,-3
1926,50,walt,auditory,31,5,2,4,C,1,F,27.431421446384,12,4
1926,50,walt,auditory,31,5,2,5,G,1,C,62.3441396508728,25,17
1926,50,walt,auditory,32,1,3,1,A,0,X,NaN,NaN,NaN
1926,50,walt,auditory,32,1,3,2,C,0,A,NaN,NaN,NaN
1926,50,walt,auditory,32,1,3,3,F,0,C,NaN,NaN,NaN
1926,50,walt,auditory,32,1,3,4,C,0,F,NaN,NaN,NaN
1926,50,walt,auditory,32,1,3,5,G,0,C,NaN,NaN,NaN
